Protein IDs	Majority protein IDs	Peptide counts (all)	Peptide counts (razor+unique)	Peptide counts (unique)	Fasta headers	Number of proteins	Peptides	Razor + unique peptides	Unique peptides	Peptides H23R_1	Peptides H23R_2	Peptides H23R_3	Peptides WT_1	Peptides WT_2	Peptides WT_3	Razor + unique peptides H23R_1	Razor + unique peptides H23R_2	Razor + unique peptides H23R_3	Razor + unique peptides WT_1	Razor + unique peptides WT_2	Razor + unique peptides WT_3	Unique peptides H23R_1	Unique peptides H23R_2	Unique peptides H23R_3	Unique peptides WT_1	Unique peptides WT_2	Unique peptides WT_3	Sequence coverage [%]	Unique + razor sequence coverage [%]	Unique sequence coverage [%]	Mol. weight [kDa]	Sequence length	Sequence lengths	Q-value	Score	Identification type H23R_1	Identification type H23R_2	Identification type H23R_3	Identification type WT_1	Identification type WT_2	Identification type WT_3	Sequence coverage H23R_1 [%]	Sequence coverage H23R_2 [%]	Sequence coverage H23R_3 [%]	Sequence coverage WT_1 [%]	Sequence coverage WT_2 [%]	Sequence coverage WT_3 [%]	Intensity	Intensity H23R_1	Intensity H23R_2	Intensity H23R_3	Intensity WT_1	Intensity WT_2	Intensity WT_3	LFQ intensity H23R_1	LFQ intensity H23R_2	LFQ intensity H23R_3	LFQ intensity WT_1	LFQ intensity WT_2	LFQ intensity WT_3	MS/MS Count H23R_1	MS/MS Count H23R_2	MS/MS Count H23R_3	MS/MS Count WT_1	MS/MS Count WT_2	MS/MS Count WT_3	MS/MS Count	Only identified by site	Reverse	Potential contaminant	id	Peptide IDs	Peptide is razor	Mod. peptide IDs	Evidence IDs	MS/MS IDs	Best MS/MS	Oxidation (M) site IDs	Oxidation (M) site positions
CON__A2I7N0	CON__A2I7N0	6	2	1		1	6	2	1	6	6	6	6	6	6	2	2	2	2	2	2	1	1	1	1	1	1	16.8	7.5	4.6	46.311	411	411	0	17.187	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	16.8	16.8	16.8	16.8	16.8	16.8	31976000	8840600	3280500	4959000	7152600	4025900	3717200	10770000	3598200	4327700	5364900	3893100	3241000	2	1	1	1	1	1	7			+	0	1124;5983;6287;7180;7542;7580	False;False;False;False;True;True	1144;6098;6408;7318;7690;7731	6796;6797;6798;6799;6800;6801;36803;36804;36805;36806;36807;36808;36809;36810;36811;36812;36813;36814;38644;38645;38646;38647;38648;38649;44392;44393;44394;44395;44396;44397;46695;46696;46697;46698;46699;46700;46935;46936;46937;46938;46939;46940	7034;7035;7036;7037;36780;36781;36782;36783;36784;36785;36786;36787;36788;36789;36790;36791;36792;36793;36794;36795;36796;36797;36798;36799;36800;36801;36802;36803;36804;38720;38721;38722;38723;44602;44603;44604;44605;44606;44607;44608;44609;47022;47023;47024;47025;47026;47027;47297;47298	7034;36795;38720;44602;47025;47297		
CON__A2I7N3	CON__A2I7N3	9	3	3		1	9	3	3	7	6	8	9	7	7	1	1	2	3	1	2	1	1	2	3	1	2	17	4.8	4.8	46.941	417	417	0	18.481	By MS/MS	By matching	By matching	By MS/MS	By matching	By MS/MS	17	17	17	17	17	15.3	31030000	2769200	763900	2298800	22642000	752780	1803500	0	0	859680	24441000	0	470930	1	0	0	3	0	1	5			+	1	764;765;907;908;2101;2102;2103;4726;6939	False;False;False;False;True;True;True;False;False	774;775;920;921;2134;2135;2136;4796;7071	4580;4581;4582;4583;4584;4585;4586;4587;4588;4589;4590;4591;4592;4593;4594;5461;5462;5463;5464;5465;5466;5467;5468;5469;5470;5471;5472;12591;12592;12593;12594;12595;12596;12597;12598;12599;12600;12601;12602;12603;28842;28843;28844;28845;28846;28847;42728;42729;42730;42731;42732;42733	4690;4691;4692;4693;4694;4695;4696;5574;5575;5576;5577;5578;5579;12614;12615;12616;12617;12618;28809;28810;28811;28812;28813;42779;42780;42781	4692;4696;5575;5578;12614;12616;12618;28809;42780		
CON__ENSEMBL:ENSBTAP00000007350;CON__P01030;sp|P0C0L5|CO4B_HUMAN;sp|P0C0L4|CO4A_HUMAN	CON__ENSEMBL:ENSBTAP00000007350;CON__P01030	10;8;1;1	10;8;1;1	10;8;1;1	;	4	10	10	10	9	6	5	8	7	8	9	6	5	8	7	8	9	6	5	8	7	8	9.6	9.6	9.6	192.99	1742	1742;1741;1744;1744	0	99.111	By MS/MS	By matching	By MS/MS	By MS/MS	By MS/MS	By MS/MS	8.8	6.4	4.7	7.6	6.5	7.7	71656000	17431000	4906000	7302300	24172000	9456500	8389100	17585000	7765800	8597200	19333000	9805700	6448000	9	0	2	6	1	1	19			+	2	443;471;2610;4372;4376;5089;5882;6450;6831;8034	True;True;True;True;True;True;True;True;True;True	448;476;2648;4438;4442;5180;5997;6575;6958;8191	2654;2655;2656;2657;2658;2659;2806;2807;2808;2809;2810;15715;15716;26716;26717;26718;26719;26720;26759;26760;26761;26762;26763;26764;31109;31110;31111;31112;31113;31114;36200;36201;39675;39676;39677;39678;39679;39680;42039;42040;42041;49685;49686	2782;2783;2879;15808;26738;26739;26740;26741;26742;26822;26823;31179;31180;31181;31182;36260;39712;39713;42075;49997	2782;2879;15808;26741;26822;31179;36260;39712;42075;49997		
CON__ENSEMBL:ENSBTAP00000014147	CON__ENSEMBL:ENSBTAP00000014147	1	1	1		1	1	1	1	1	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	14.2	14.2	14.2	11.756	113	113	0.0091743	6.0964	By MS/MS						14.2	0	0	0	0	0	1178500	1178500	0	0	0	0	0	1178500	0	0	0	0	0	1	0	0	0	0	0	1			+	3	6781	True	6907	41732	41757	41757		
CON__ENSEMBL:ENSBTAP00000018229	CON__ENSEMBL:ENSBTAP00000018229	7	7	3		1	7	7	3	6	5	4	6	6	7	6	5	4	6	6	7	2	2	1	2	3	3	11.2	11.2	4.8	53.661	475	475	0	90.311	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	11.2	10.5	8.8	11.2	10.9	11.2	218150000	52467000	18398000	21733000	55332000	36193000	34025000	58998000	23014000	22211000	53884000	30296000	22302000	11	4	4	11	7	6	43			+	4	814;2450;2451;3355;6985;7438;7439	True;True;True;True;True;True;True	824;2487;2488;3408;7117;7583;7584	4898;4899;4900;4901;4902;4903;14738;14739;14740;14741;14742;14743;14744;14745;14746;20453;20454;20455;43005;43006;43007;43008;46069;46070;46071;46072;46073;46074;46075;46076;46077;46078;46079;46080	5061;5062;5063;14828;14829;14830;14831;14832;14833;14834;14835;14836;14837;14838;14839;14840;14841;14842;14843;14844;14845;14846;14847;14848;20702;20703;43052;43053;43054;46361;46362;46363;46364;46365;46366;46367;46368;46369;46370;46371;46372;46373;46374;46375	5062;14840;14847;20703;43052;46368;46373		
CON__ENSEMBL:ENSBTAP00000018574	CON__ENSEMBL:ENSBTAP00000018574	8	8	8		1	8	8	8	8	8	7	7	8	7	8	8	7	7	8	7	8	8	7	7	8	7	22.4	22.4	22.4	55.207	496	496	0	66.272	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	22.4	22.4	20.8	19.6	22.4	19.6	81507000	22474000	9464000	10492000	17673000	9656200	11748000	22259000	9626500	10438000	18525000	9052100	9432600	7	2	2	6	2	4	23			+	5	19;1182;1788;2114;2892;3517;4490;6832	True;True;True;True;True;True;True;True	19;1202;1814;2147;2934;3572;4559;6959	96;97;98;99;100;101;7132;7133;7134;7135;7136;7137;10720;10721;10722;10723;10724;12657;12658;12659;12660;12661;12662;17533;17534;17535;17536;17537;17538;21395;21396;21397;21398;21399;21400;27453;27454;27455;27456;42042;42043;42044;42045;42046;42047	81;82;83;84;85;86;7352;7353;10715;10716;12658;12659;12660;12661;17611;21611;21612;21613;27504;42076;42077;42078;42079	81;7352;10715;12659;17611;21611;27504;42078		
CON__ENSEMBL:ENSBTAP00000024146;sp|P01023|A2MG_HUMAN;sp|P20742|PZP_HUMAN	CON__ENSEMBL:ENSBTAP00000024146	48;4;2	48;4;2	48;4;2		3	48	48	48	47	39	40	41	39	43	47	39	40	41	39	43	47	39	40	41	39	43	42.5	42.5	42.5	164.34	1477	1477;1474;1482	0	323.31	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	41.6	35.8	34.8	34	35	37.2	3162500000	935180000	244520000	342730000	900760000	385410000	353930000	938210000	312040000	320650000	786530000	354320000	315730000	112	48	56	80	60	71	427			+	6	59;404;517;597;675;691;865;1016;1108;1110;1565;2224;2371;2548;2614;2747;2794;3375;3524;3525;3583;3613;4368;4416;4543;4648;4649;5131;5189;5407;5408;5795;5979;5980;6159;6273;6371;6402;6495;6685;6686;6689;7037;7286;7315;7656;7680;7998	True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True	59;409;524;604;605;684;700;878;1032;1033;1128;1130;1588;2259;2407;2585;2652;2787;2834;3428;3579;3580;3639;3669;4434;4482;4612;4718;4719;5228;5289;5512;5513;5906;6094;6095;6279;6394;6494;6526;6620;6811;6812;6815;7171;7426;7427;7456;7807;7831;8154	358;359;360;361;362;2395;2396;2397;2398;2399;2400;2401;2402;2403;3105;3550;3551;3552;3553;3554;3555;3556;3557;3558;3559;3560;3561;4037;4038;4039;4040;4041;4042;4122;4123;4124;4125;4126;5208;5209;5210;5211;5212;5213;5214;6111;6112;6113;6114;6115;6116;6117;6118;6119;6120;6698;6699;6700;6701;6702;6703;6716;6717;6718;6719;6720;6721;9409;13324;13325;13326;13327;13328;13329;14217;14218;14219;15335;15336;15337;15338;15339;15340;15341;15342;15343;15344;15345;15346;15734;15735;15736;15737;15738;15739;15740;15741;15742;15743;15744;15745;16553;16554;16555;16556;16835;16836;16837;16838;16839;16840;16841;20556;20557;20558;20559;20560;20561;21434;21435;21436;21437;21438;21439;21440;21441;21752;21753;21754;21755;21756;21757;21930;21931;21932;21933;21934;21935;21936;21937;26682;26683;26684;26685;26686;26687;26688;26689;26690;26691;26692;26693;26992;26993;26994;26995;26996;26997;27728;27729;27730;27731;27732;27733;27734;27735;27736;28388;28389;28390;28391;28392;28393;28394;28395;28396;28397;28398;28399;28400;28401;28402;31419;31420;31421;31774;31775;31776;31777;31778;31779;31780;31781;31782;31783;31784;31785;33210;33211;33212;33213;33214;33215;33216;33217;33218;33219;33220;33221;33222;33223;33224;33225;33226;33227;33228;33229;33230;35626;35627;35628;35629;35630;35631;36761;36762;36763;36764;36765;36766;36767;36768;36769;36770;36771;36772;36773;36774;36775;36776;36777;36778;36779;36780;36781;36782;36783;36784;36785;36786;36787;36788;36789;36790;37798;37799;37800;37801;37802;37803;37804;37805;38566;38567;38568;38569;38570;38571;39155;39156;39157;39158;39159;39160;39161;39162;39163;39164;39165;39166;39346;39347;39348;39349;39350;39351;39352;39353;39354;39355;39356;39357;39943;39944;39945;39946;39947;39948;39949;39950;41155;41156;41157;41158;41159;41160;41161;41162;41163;41164;41165;41166;41178;41179;41180;41181;41182;41183;43351;43352;43353;43354;43355;43356;43357;43358;45070;45071;45072;45073;45074;45075;45076;45256;45257;45258;45259;45260;45261;47353;47354;47355;47356;47357;47358;47359;47360;47361;47491;47492;47493;47494;47495;47496;49480	388;2428;2429;2430;2431;2432;2433;2434;2435;2436;2437;2438;2439;2440;2441;2442;2443;2444;2445;2446;2447;2448;3178;3609;3610;3611;3612;3613;3614;3615;3616;3617;3618;3619;3620;3621;3622;3623;3624;3625;3626;3627;3628;3629;4126;4127;4128;4129;4130;4131;4132;4133;4134;4135;4136;4137;4230;4231;4232;4233;4234;4235;5358;5359;5360;5361;5362;5363;5364;5365;5366;5367;6218;6219;6220;6221;6222;6223;6224;6881;6882;6883;6884;6885;6886;6887;6888;6889;6890;6891;6892;6893;6894;6895;6896;6924;6925;6926;6927;6928;6929;6930;6931;6932;6933;6934;9466;13392;13393;13394;13395;13396;14345;15447;15448;15449;15450;15451;15452;15453;15454;15455;15456;15457;15458;15459;15824;15825;15826;15827;15828;15829;15830;15831;15832;15833;15834;15835;15836;15837;15838;15839;15840;15841;15842;16667;16668;16669;16918;16919;20802;20803;20804;20805;20806;20807;21656;21657;21658;21659;21660;21661;21662;21663;21931;22072;22073;26677;26678;26679;26680;26681;26682;26683;26684;26685;26686;26687;26688;26689;26690;26691;26692;26693;26694;26695;26696;26697;26698;26699;26700;26701;26702;26703;26704;26705;26706;27063;27064;27065;27066;27067;27068;27069;27070;27071;27072;27073;27074;27075;27076;27782;27783;27784;27785;27786;27787;27788;27789;27790;27791;27792;27793;28403;28404;28405;28406;28407;28408;28409;28410;28411;28412;28413;28414;28415;31531;31532;31533;31534;31535;31536;31873;31874;31875;31876;31877;31878;31879;31880;31881;31882;31883;33389;33390;33391;33392;33393;33394;33395;33396;33397;33398;33399;33400;33401;33402;33403;33404;33405;33406;33407;33408;33409;33410;33411;33412;33413;33414;33415;33416;33417;33418;33419;33420;33421;33422;35727;35728;35729;35730;35731;35732;36721;36722;36723;36724;36725;36726;36727;36728;36729;36730;36731;36732;36733;36734;36735;36736;36737;36738;36739;36740;36741;36742;36743;36744;36745;36746;36747;36748;36749;36750;36751;36752;36753;36754;36755;36756;36757;36758;36759;36760;36761;36762;36763;37841;37842;37843;37844;37845;37846;37847;38648;38649;38650;38651;38652;38653;38654;39237;39238;39239;39240;39241;39242;39243;39244;39245;39246;39413;39414;39415;39416;39417;39418;39419;39420;39421;39422;39423;39424;39933;39934;39935;39936;39937;39938;39939;39940;39941;41125;41126;41127;41128;41129;41130;41131;41132;41142;41143;41144;41145;41146;41147;43396;43397;43398;43399;43400;43401;43402;43403;45261;45262;45263;45264;45265;45446;45447;45448;45449;45450;45451;45452;45453;47668;47669;47670;47671;47672;47673;47674;47675;47676;47677;47678;47679;47680;47844;49820	388;2448;3178;3609;4127;4230;5362;6219;6887;6926;9466;13396;14345;15455;15836;16668;16918;20802;21656;21658;21931;22072;26679;27076;27784;28405;28413;31532;31879;33392;33422;35727;36726;36751;37845;38648;39243;39423;39941;41125;41132;41147;43400;45261;45447;47675;47844;49820	0;1;2	668;803;963
CON__ENSEMBL:ENSBTAP00000024466;CON__ENSEMBL:ENSBTAP00000024462	CON__ENSEMBL:ENSBTAP00000024466;CON__ENSEMBL:ENSBTAP00000024462	4;4	4;4	4;4	;	2	4	4	4	4	4	3	4	3	4	4	4	3	4	3	4	4	4	3	4	3	4	16.2	16.2	16.2	43.9	401	401;419	0	97.34	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	16.2	16.2	13.2	16.2	13.2	16.2	191490000	40175000	15681000	23362000	68097000	25468000	18708000	38531000	16867000	22116000	69976000	24814000	14358000	7	5	5	6	5	7	35			+	7	1621;2116;7328;8008	True;True;True;True	1647;2149;7469;8164	9762;9763;9764;9765;9766;9767;9768;9769;9770;9771;12669;12670;12671;12672;12673;12674;45344;45345;45346;45347;49529;49530;49531;49532;49533;49534	9819;9820;9821;9822;9823;9824;9825;9826;12667;12668;12669;12670;12671;12672;12673;12674;12675;12676;12677;12678;45520;45521;45522;45523;49834;49835;49836;49837;49838;49839;49840;49841;49842;49843;49844	9824;12674;45520;49841		
CON__ENSEMBL:ENSBTAP00000034412	CON__ENSEMBL:ENSBTAP00000034412	1	1	1		1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	8.5	8.5	8.5	22.336	199	199	0.0015798	7.9875	By MS/MS	By matching	By MS/MS	By matching	By matching	By MS/MS	8.5	8.5	8.5	8.5	8.5	8.5	7543400	1429300	670510	1290900	1393700	959550	1799400	0	0	0	0	0	1439100	1	0	1	0	0	1	3			+	8	4691	True	4761	28634;28635;28636;28637;28638;28639	28614;28615;28616	28615		
CON__ENSEMBL:ENSBTAP00000037665	CON__ENSEMBL:ENSBTAP00000037665	6	6	6		1	6	6	6	5	4	4	6	4	5	5	4	4	6	4	5	5	4	4	6	4	5	13.7	13.7	13.7	65.19	578	578	0	41.058	By MS/MS	By matching	By MS/MS	By MS/MS	By MS/MS	By matching	9.7	9.5	9.5	13.7	9.5	9.7	56856000	13715000	3737600	6209700	22641000	5382400	5170000	16296000	4149500	7191700	18332000	5206000	4231400	4	0	2	4	1	0	11			+	9	162;3037;3085;5315;5892;7642	True;True;True;True;True;True	164;3081;3129;5417;6007;7793	966;18473;18474;18475;18476;18477;18478;18772;18773;18774;18775;18776;18777;32597;32598;32599;32600;32601;32602;36275;36276;36277;47270;47271;47272;47273;47274;47275	1031;18654;18655;19030;19031;19032;32759;32760;36345;47605;47606;47607	1031;18654;19032;32760;36345;47607		
